workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,drama_aegis_profile_risk_full,drama_ewma_full,drama_max_full,drama_mean_full,drama_median_full,drama_mode_full,drama_p95_full,drama_profile_stat_score_full,gpu_memory_peak_mib_peak_full,smact_aegis_profile_risk_full,smact_ewma_full,smact_max_full,smact_mean_full,smact_median_full,smact_mode_full,smact_p95_full,smact_profile_stat_score_full,smocc_aegis_profile_risk_full,smocc_ewma_full,smocc_max_full,smocc_mean_full,smocc_median_full,smocc_mode_full,smocc_p95_full,smocc_profile_stat_score_full,coarse_resource_label
resnet34_cifar100_bs128_20e_1gpu,2026-05-01_07-35-57_67ce5665,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,1,single,188.74,192.12,0,1074.0,0.1419,0.07392630482177565,0.0579307831968771,0.11,0.0667744360902255,0.065,0.063,0.106,0.07619360902255637,1076.0,0.2118283476933551,0.1687780524275558,0.293,0.1941353383458646,0.207,0.0,0.2774,0.17353383458646615,0.08378389553391916,0.0663446046920676,0.117,0.076390977443609,0.082,0.082,0.1104,0.08934774436090226,light
resnet34_cifar100_bs128_50e_1gpu,2026-05-01_07-39-14_9b62aa8c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_50e_1gpu.yaml,1,single,483.65,487.07,0,1074.0,0.1419,0.0734996681146488,0.0567926118525346,0.114,0.0672060606060606,0.064,0.064,0.106,0.07730151515151515,1076.0,0.21572789321421854,0.1712100577053591,0.341,0.2011515151515152,0.208,0.208,0.2825499999999999,0.2395378787878788,0.0846704387959045,0.0670363006381635,0.119,0.0786454545454545,0.082,0.082,0.111,0.09041136363636362,light
resnet34_cifar100_bs32_20e_1gpu,2026-05-01_07-47-27_b77f0300,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_20e_1gpu.yaml,1,single,743.21,746.49,0,1002.0,0.0921,0.05936262816637983,0.0489990956614707,0.098,0.0564514170040486,0.051,0.05,0.081,0.06386285425101215,1004.0,0.17964073469073216,0.1542394569815522,0.273,0.1781234817813765,0.1845,0.197,0.2016999999999999,0.20815587044534412,0.07115874489057057,0.0609246556756428,0.109,0.0703603238866396,0.072,0.079,0.0813499999999999,0.0825900809716599,light
resnet34_cifar100_bs32_50e_1gpu,2026-05-01_07-59-59_0fe794d3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,1,single,1921.1,1924.56,0,1002.0,0.0921,0.0581567706168592,0.0476175963014289,0.098,0.0550094861660079,0.051,0.052,0.079,0.06400237154150197,1004.0,0.1790655962989908,0.1536110017967537,0.257,0.1776513833992095,0.184,0.184,0.201,0.20066284584980237,0.07065913669138685,0.060580420283334,0.103,0.0700561264822134,0.072,0.072,0.08,0.07926403162055334,light
resnet34_cifar100_bs64_20e_1gpu,2026-05-01_08-32-08_973a2d99,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_20e_1gpu.yaml,1,single,370.15,373.51,0,1016.0,0.1082,0.06341390991529519,0.0496596079151491,0.096,0.0579960317460317,0.054,0.052,0.092,0.06499900793650792,1018.0,0.1847429520289314,0.1529757763696939,0.242,0.1754960317460317,0.1835,0.183,0.227,0.19599900793650793,0.0743771234825916,0.0611711923430649,0.097,0.0703373015873015,0.073,0.073,0.093,0.07833432539682537,light
resnet34_cifar100_bs64_50e_1gpu,2026-05-01_08-38-27_f49c74be,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_50e_1gpu.yaml,1,single,1002.53,1005.9,0,1016.0,0.1082,0.0576064144194809,0.0462791703834543,0.098,0.0541464872944693,0.053,0.052,0.077,0.06428662182361733,1018.0,0.17676994625263717,0.151532699808755,0.293,0.1745470852017937,0.183,0.184,0.198,0.20863677130044841,0.07098013141678895,0.0603151445012366,0.096,0.0696053811659192,0.073,0.074,0.081,0.0781513452914798,light
resnet50_imagenet_bs128_1gpu,2026-05-01_08-55-19_6c435383,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,1,single,1866.64,1870.75,0,13236.0,10.416,0.49835741691531177,0.4200966024963236,0.58,0.5003330651649236,0.505,0.488,0.568,0.5183332662912309,13238.0,0.7059969335130429,0.5948260285010856,0.817,0.708161705551086,0.715,0.683,0.806,0.7307904263877715,0.36642427032363883,0.3092723025334935,0.426,0.3674247787610619,0.37,0.353,0.419,0.37910619469026546,light
resnet50_imagenet_bs32_1gpu,2026-05-01_09-26-35_d06673fa,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,1,single,2087.6,2091.71,0,3934.0,2.6099,0.41246268682017145,0.3552178901378288,0.451,0.4206328571428571,0.43,0.428,0.444,0.4324082142857143,3944.0,0.6382560601696463,0.5500778121071563,0.699,0.6509464285714286,0.665,0.663,0.687,0.6694866071428571,0.3096685425014788,0.267689170005915,0.339,0.315985,0.322,0.321,0.333,0.32449625000000004,light
resnet50_imagenet_bs64_1gpu,2026-05-01_10-01-33_6458f79c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,1,single,1946.88,1951.05,0,7106.0,5.2119,0.46340061026387863,0.396750360932248,0.523,0.4708520801232665,0.483,0.484,0.503,0.4902130200308166,7118.0,0.6743300472406445,0.5777808977453206,0.759,0.6855392912172573,0.703,0.698,0.731,0.7113848228043143,0.341786160155204,0.2936145943958546,0.386,0.3475300462249614,0.356,0.357,0.37,0.3616325115562403,light
unet_voc_1gpu,2026-05-01_10-34-10_3eeb5b93,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,1,single,1878.16,1880.22,0,9910.0,3.3243,0.3877362455641901,0.3183375278554916,0.469,0.3676074544012688,0.403,0.404,0.462,0.4109018636003172,5636.0,0.6695619175075346,0.5509439428295041,0.801,0.6363037272006343,0.701,0.0,0.79,0.5345759318001586,0.3449462889370343,0.27508808992736,0.46,0.3176970658207771,0.333,0.333,0.454,0.36092426645519426,light
