spec_key,spec_path,normalized_speed,partner_spec_key,pair_id,pairwise_source_csv,pair_time_s,partner_pair_time_s,partner_runtime_ratio,valid_for_label
efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,1.0,resnet18_cifar100_bs32_50e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1575.53,1503.49,0.9542757040487962,True
resnet18_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,1.0,efficientnet_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1503.49,1575.53,1.0479151840052146,True
resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,1.0,resnet18_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,616.36,758.93,1.2313096242455706,True
resnet18_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,1.0,resnet18_cifar100_bs32_20e_1gpu.yaml,resnet18_cifar100_bs32_20e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,758.93,616.36,0.8121434124359296,True
efficientnet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs32_1gpu.yaml,0.8200613752876167,resnet34_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,3907.11,3656.2,0.9357811784157599,True
resnet34_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,0.7283436354685192,efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,3656.2,3907.11,1.0686258957387453,True
resnet50_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet50_imagenet_bs32_1gpu.yaml,0.5837422558347022,unet_voc_1gpu.yaml,resnet50_imagenet_bs32_1gpu__PLUS__unet_voc_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,9594.32,7482.58,0.7798968556395868,False
unet_voc_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/unet_voc_1gpu.yaml,0.6218683929874456,resnet50_imagenet_bs32_1gpu.yaml,resnet50_imagenet_bs32_1gpu__PLUS__unet_voc_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,7482.58,9594.32,1.2822208382670148,True
mobilenet_imagenet_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs32_1gpu.yaml,1.0,resnet34_cifar100_bs32_50e_1gpu.yaml,mobilenet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,3099.74,3262.03,1.0523560040519528,True
resnet34_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,0.8163536202916588,mobilenet_imagenet_bs32_1gpu.yaml,mobilenet_imagenet_bs32_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,3262.03,3099.74,0.9502487714705259,True
