telemetry_file,gpu_id,energy_column,energy_start_raw,energy_end_raw,energy_delta_raw,energy_delta_j,start_sample_time_s,end_sample_time_s,trace,policy,raw_label,experiment_name,run_dir
evaluation/experiments/results/final_representative_evaluation__venus__rep01__lucid_baseline/20260623-115555/LUCID/runtime/telemetry/dcgmi_metrics.csv,1,energy,14702264632.0,22349926772.0,7647662140.0,7647662140.0,73831.954845833,114351.22340695,venus,Lucid,LUCID,final_representative_evaluation__venus__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__venus__rep01__lucid_baseline
evaluation/experiments/results/final_representative_evaluation__venus__rep01__lucid_baseline/20260623-115555/LUCID/runtime/telemetry/dcgmi_metrics.csv,3,energy,13377260799.0,22829504999.0,9452244200.0,9452244200.0,73831.954845833,114351.22340695,venus,Lucid,LUCID,final_representative_evaluation__venus__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__venus__rep01__lucid_baseline
evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_horus/20260622-054055/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,0,energy,8734486731.0,16747656040.0,8013169309.0,8013169309.0,35483.411712088,69129.465866283,venus,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__venus__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_horus
evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_horus/20260622-054055/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,1,energy,8214454870.0,16554878782.0,8340423912.0,8340423912.0,35483.411712088,69129.465866283,venus,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__venus__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_horus
evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_horus/20260622-054055/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,3,energy,7855184956.0,15819529058.0,7964344102.0,7964344102.0,35483.411712088,69129.465866283,venus,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__venus__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_horus
evaluation/experiments/results/final_representative_evaluation__venus__rep01__oracle_upper_bound/20260623-231117/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,28470063307.0,36970566792.0,8500503485.0,8500503485.0,114354.220948781,146728.942600247,venus,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__venus__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__venus__rep01__oracle_upper_bound
evaluation/experiments/results/final_representative_evaluation__venus__rep01__oracle_upper_bound/20260623-231117/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,22350093969.0,30302514650.0,7952420681.0,7952420681.0,114354.220948781,146728.942600247,venus,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__venus__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__venus__rep01__oracle_upper_bound
evaluation/experiments/results/final_representative_evaluation__venus__rep01__oracle_upper_bound/20260623-231117/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,22829672072.0,30366637591.0,7536965519.0,7536965519.0,114354.220948781,146728.942600247,venus,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__venus__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__venus__rep01__oracle_upper_bound
evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,18270193.0,8734393642.0,8716123449.0,8716123449.0,380.763080582,35481.681820165,venus,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__venus__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,18682758.0,8214362684.0,8195679926.0,8195679926.0,380.763080582,35481.681820165,venus,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__venus__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,19269419.0,7855090221.0,7835820802.0,7835820802.0,380.763080582,35481.681820165,venus,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__venus__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free
