trial_id,gpu_id,cuda_visible_devices,tau_smact,tau_smocc,tau_drama,window_seconds,planned_workload_count,admitted_workload_count,rejected_stage,rejection_reason,reject_retry_count,solo_runtime_sum_seconds,collocated_wall_time_seconds,sequence_wall_time_seconds,throughput_gain,mean_slowdown,max_slowdown,p95_slowdown,mean_execution_slowdown,max_execution_slowdown,p95_execution_slowdown,run_dir,threshold_dir,failed_started_rows
cifar_llama_imagenet_4jobs,0,0,0.1,0.05,0.6,30.0,4,4,2.0,threshold_rule,171,1429.2329093479966,478.761181,681.560964,2.096999365926122,1.0019168985501252,1.0744073740052658,1.0744073740052658,1.0019168985501252,1.0744073740052658,1.0744073740052658,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p60,smact_0p10_smocc_0p05_drama_0p60,0
mixed_imagenet_cifar_llama_4jobs,0,0,0.1,0.1,0.05,30.0,4,4,2.0,threshold_rule,291,1429.2329093479966,462.420321,1001.720624,1.4267779609457223,0.9616894614190604,0.9957657503814722,0.9957657503814722,0.9616894614190604,0.9957657503814722,0.9957657503814722,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p05,smact_0p10_smocc_0p10_drama_0p05,0
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.1,0.05,30.0,4,4,4.0,threshold_rule,126,1429.2329093479966,501.985916,650.589364,2.196827966200807,1.0172791891587452,1.057208378439931,1.057208378439931,1.0172791891587452,1.057208378439931,1.057208378439931,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p05,smact_0p10_smocc_0p10_drama_0p05,0
imagenet_diverse_5jobs,0,0,0.1,0.1,0.05,30.0,5,5,2.0,threshold_rule,23,916.242493062,429.452481,560.524261,1.634617012700544,1.7886196711020013,2.3288249716535137,2.3288249716535137,1.7886196711020013,2.3288249716535137,2.3288249716535137,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p05,smact_0p10_smocc_0p10_drama_0p05,0
imagenet_diverse_reverse_5jobs,0,0,0.1,0.1,0.05,30.0,5,5,3.0,threshold_rule,254,916.242493062,275.027688,833.285957,1.0995535030503338,1.172165507565058,1.7178050718072106,1.7178050718072106,1.172165507565058,1.7178050718072106,1.7178050718072106,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p05,smact_0p10_smocc_0p10_drama_0p05,0
cifar_llama_imagenet_4jobs,0,0,0.1,0.1,0.05,30.0,4,4,4.0,threshold_rule,188,1429.2329093479966,480.714003,680.8899,2.0990661035624063,1.002237228778102,1.0779077104628008,1.0779077104628008,1.002237228778102,1.0779077104628008,1.0779077104628008,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p05,smact_0p10_smocc_0p10_drama_0p05,0
mixed_imagenet_cifar_llama_4jobs,0,0,0.1,0.1,0.1,30.0,4,4,2.0,threshold_rule,284,1429.2329093479966,457.824932,998.572486,1.4312760759843293,0.9612806200445544,0.9988884743070204,0.9988884743070204,0.9612806200445544,0.9988884743070204,0.9988884743070204,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p10,smact_0p10_smocc_0p10_drama_0p10,0
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.1,0.1,30.0,4,4,4.0,threshold_rule,131,1429.2329093479966,492.202811,658.751979,2.1696070067487367,1.017563886623106,1.0616872724786053,1.0616872724786053,1.017563886623106,1.0616872724786053,1.0616872724786053,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p10,smact_0p10_smocc_0p10_drama_0p10,0
imagenet_diverse_5jobs,0,0,0.1,0.1,0.1,30.0,5,5,2.0,threshold_rule,3,916.242493062,446.211032,548.808325,1.6695127448403777,1.9791275207791568,2.4186725127285524,2.4186725127285524,1.9791275207791568,2.4186725127285524,2.4186725127285524,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p10,smact_0p10_smocc_0p10_drama_0p10,0
imagenet_diverse_reverse_5jobs,0,0,0.1,0.1,0.1,30.0,5,5,2.0,threshold_rule,287,916.242493062,236.614867,916.288451,0.9999498433730668,0.9937834418182524,1.0010950660085525,1.0010950660085525,0.9937834418182524,1.0010950660085525,1.0010950660085525,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p10,smact_0p10_smocc_0p10_drama_0p10,0
cifar_llama_imagenet_4jobs,0,0,0.1,0.1,0.1,30.0,4,4,2.0,threshold_rule,161,1429.2329093479966,482.320657,684.000294,2.0895208991649885,1.0265340988467848,1.0953037746081355,1.0953037746081355,1.0265340988467848,1.0953037746081355,1.0953037746081355,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p10,smact_0p10_smocc_0p10_drama_0p10,0
mixed_imagenet_cifar_llama_4jobs,0,0,0.1,0.1,0.2,30.0,4,4,2.0,threshold_rule,280,1429.2329093479966,445.783725,989.346428,1.4446233077702046,0.9488174439596054,1.0037429961475837,1.0037429961475837,0.9488174439596054,1.0037429961475837,1.0037429961475837,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p20,smact_0p10_smocc_0p10_drama_0p20,0
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.1,0.2,30.0,4,4,4.0,threshold_rule,125,1429.2329093479966,476.146699,652.962428,2.188844025414578,1.0175931704657015,1.0589524336105405,1.0589524336105405,1.0175931704657015,1.0589524336105405,1.0589524336105405,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p20,smact_0p10_smocc_0p10_drama_0p20,0
imagenet_diverse_5jobs,0,0,0.1,0.1,0.2,30.0,5,5,2.0,threshold_rule,35,916.242493062,423.526026,571.582692,1.6029920182782582,1.718933979333166,2.295709169089657,2.295709169089657,1.718933979333166,2.295709169089657,2.295709169089657,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p20,smact_0p10_smocc_0p10_drama_0p20,0
imagenet_diverse_reverse_5jobs,0,0,0.1,0.1,0.2,30.0,5,5,2.0,threshold_rule,232,916.242493062,274.287902,832.799075,1.1001963385490072,1.164220040987328,1.7131844165121262,1.7131844165121262,1.164220040987328,1.7131844165121262,1.7131844165121262,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p20,smact_0p10_smocc_0p10_drama_0p20,0
cifar_llama_imagenet_4jobs,0,0,0.1,0.1,0.2,30.0,4,4,3.0,threshold_rule,1,1429.2329093479966,579.925668,617.55635,2.314336026741522,1.2715358064151487,1.4227457329399058,1.4227457329399058,1.2715358064151487,1.4227457329399058,1.4227457329399058,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p20,smact_0p10_smocc_0p10_drama_0p20,0
mixed_imagenet_cifar_llama_4jobs,0,0,0.1,0.1,0.3,30.0,4,4,2.0,threshold_rule,265,1429.2329093479966,452.208431,994.675961,1.4368829301063168,0.948079876790987,1.004030265437604,1.004030265437604,0.948079876790987,1.004030265437604,1.004030265437604,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p30,smact_0p10_smocc_0p10_drama_0p30,0
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.1,0.3,30.0,4,4,4.0,threshold_rule,118,1429.2329093479966,503.070795,641.406972,2.228277788891881,1.0418247163068672,1.059493189889489,1.059493189889489,1.0418247163068672,1.059493189889489,1.059493189889489,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p30,smact_0p10_smocc_0p10_drama_0p30,0
