task_file,workload,num_gpus,estimator,yaml_field,peak_memory_mib,estimate_mib,error_mib,abs_error_mib,estimate_to_peak_ratio,underestimates,severe_underestimates,overestimates,severe_overestimates,extreme_overestimates
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,inception_imagenet_bs64_1gpu.yaml,1,HorusMem,horus_mib,9408.0,11089.8086,1681.8086000000003,1681.8086000000003,1.178763669217687,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,inception_imagenet_bs64_1gpu.yaml,1,FakeTensorMem,faketensor_mib,9408.0,3158.379311,-6249.620688999999,6249.620688999999,0.33571208662840135,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,inception_imagenet_bs64_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,9408.0,16000.0,6592.0,6592.0,1.7006802721088434,False,False,True,True,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,maskrcnn_coco_bs8_1gpu.yaml,1,HorusMem,horus_mib,29854.0,7902.3,-21951.7,21951.7,0.2646981978964293,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,maskrcnn_coco_bs8_1gpu.yaml,1,FakeTensorMem,faketensor_mib,29854.0,40000.0,10146.0,10146.0,1.3398539559188047,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/maskrcnn_coco_bs8_1gpu.yaml,maskrcnn_coco_bs8_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,29854.0,8000.0,-21854.0,21854.0,0.267970791183761,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,mnist_bs32_1gpu.yaml,1,HorusMem,horus_mib,1098.0,1114.0823,16.082300000000032,16.082300000000032,1.0146469034608379,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,mnist_bs32_1gpu.yaml,1,FakeTensorMem,faketensor_mib,1098.0,37.17192078,-1060.82807922,1060.82807922,0.03385420836065574,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mnist_bs32_1gpu.yaml,mnist_bs32_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,1098.0,8000.0,6902.0,6902.0,7.285974499089253,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,1,HorusMem,horus_mib,634.0,2948.3796,2314.3796,2314.3796,4.650441009463723,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,634.0,49.12693024,-584.87306976,584.87306976,0.07748727167192429,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_20e_1gpu.yaml,mobilenet_cifar100_bs128_20e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,634.0,8000.0,7366.0,7366.0,12.618296529968454,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,1,HorusMem,horus_mib,634.0,2948.3796,2314.3796,2314.3796,4.650441009463723,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,634.0,49.12693024,-584.87306976,584.87306976,0.07748727167192429,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs128_50e_1gpu.yaml,mobilenet_cifar100_bs128_50e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,634.0,8000.0,7366.0,7366.0,12.618296529968454,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,1,HorusMem,horus_mib,592.0,1348.8069,756.8069,756.8069,2.2783900337837837,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,592.0,15.16733551,-576.83266449,576.83266449,0.025620499172297296,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,592.0,8000.0,7408.0,7408.0,13.513513513513514,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,1,HorusMem,horus_mib,592.0,1348.8069,756.8069,756.8069,2.2783900337837837,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,592.0,15.16733551,-576.83266449,576.83266449,0.025620499172297296,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,592.0,8000.0,7408.0,7408.0,13.513513513513514,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,1,HorusMem,horus_mib,602.0,1881.9978,1279.9978,1279.9978,3.12624219269103,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,602.0,25.9091568,-576.0908432,576.0908432,0.04303846644518273,True,True,False,False,False
