metric,summary_window_seconds,reference_window_seconds,n,mean_abs_error,median_abs_error,p95_abs_error,mean_abs_relative_error,base_metric,risk_component
drama_mean,60.0,200.0,50,0.0028747309722946,0.0018082283142389,0.0090590577889448,0.0313481057418886,drama,mean
drama_mean,120.0,200.0,50,0.001345965836993,0.0008403887009673,0.0043068365692097,0.019761568820089,drama,mean
drama_mean,200.0,200.0,50,0.0,0.0,0.0,0.0,drama,mean
drama_median,5.0,200.0,50,0.015242,0.00375,0.0734249999999999,0.175838722085192,drama,median
drama_median,10.0,200.0,50,0.0051699999999999,0.002,0.0231999999999999,0.1039410234202433,drama,median
drama_median,20.0,200.0,50,0.0040599999999999,0.001,0.0205749999999999,0.0868825533165102,drama,median
drama_median,30.0,200.0,50,0.0026,0.001,0.0131999999999999,0.062720444140273,drama,median
drama_median,40.0,200.0,50,0.001988,0.001,0.0081999999999999,0.0542983650482121,drama,median
drama_median,60.0,200.0,50,0.001392,0.001,0.0045,0.0417476379280072,drama,median
drama_median,120.0,200.0,50,0.001123,0.0005,0.0035,0.0390587418085136,drama,median
drama_median,200.0,200.0,50,0.0,0.0,0.0,0.0,drama,median
drama_p95,5.0,200.0,50,0.0100195362258892,0.0036499999999999,0.0420699999999999,0.0783129001270655,drama,p95
drama_p95,10.0,200.0,50,0.0061153121804354,0.002,0.02576,0.058232870055661,drama,p95
drama_p95,20.0,200.0,50,0.0037993670168389,0.0018999999999999,0.0145399999999999,0.0380364620151863,drama,p95
drama_p95,30.0,200.0,50,0.0023209999999999,0.0010749999999999,0.0082049999999999,0.0349761081909319,drama,p95
drama_p95,40.0,200.0,50,0.0020904221083257,0.001,0.0075899999999999,0.03382634036305,drama,p95
drama_p95,60.0,200.0,50,0.0021112161303131,0.001,0.010155,0.033501636537404,drama,p95
drama_p95,120.0,200.0,50,0.0015963373600713,0.000925,0.0068549999999998,0.0253481386641507,drama,p95
drama_p95,200.0,200.0,50,0.0,0.0,0.0,0.0,drama,p95
drama_ewma,5.0,200.0,50,0.0187932482728922,0.0127921698563264,0.0657247179456086,0.137119792674064,drama,ewma
drama_ewma,10.0,200.0,50,0.0097081083412476,0.0061895004908845,0.0329726431887057,0.0847426095903533,drama,ewma
drama_ewma,20.0,200.0,50,0.0054129002488227,0.0028704919854912,0.0220987923404791,0.0559774083555049,drama,ewma
drama_ewma,30.0,200.0,50,0.004205372908851,0.0021805261853082,0.0127467635272948,0.0535791877791384,drama,ewma
drama_ewma,40.0,200.0,50,0.003364254092524,0.0016748476302813,0.0110872358052467,0.0422037964411845,drama,ewma
drama_ewma,60.0,200.0,50,0.0026678896495005,0.0011892775671443,0.0093322564702958,0.0368784605585347,drama,ewma
drama_ewma,120.0,200.0,50,0.0026553008896502,0.0010286071333603,0.0087819717330172,0.0394374439931186,drama,ewma
drama_ewma,200.0,200.0,50,0.0,0.0,0.0,0.0,drama,ewma
drama_risk,5.0,200.0,50,0.021237933309479,0.0142541503614721,0.0778754771684314,0.1417281680930838,drama,risk
drama_risk,10.0,200.0,50,0.0097058802941731,0.006925898769847,0.0275956591387879,0.0811060370043602,drama,risk
drama_risk,20.0,200.0,50,0.0055930733082517,0.0033608203529505,0.0135580466638196,0.0546576062627688,drama,risk
drama_risk,30.0,200.0,50,0.0034978341306196,0.0023951293440226,0.0100456636857914,0.0434617462362904,drama,risk
drama_risk,40.0,200.0,50,0.0027413477428029,0.0021657862640538,0.0072302942122243,0.0348664830226069,drama,risk
drama_risk,60.0,200.0,50,0.0018349883103599,0.0014558245144695,0.0058293835398479,0.0298196274800702,drama,risk
drama_risk,120.0,200.0,50,0.001616549434353,0.0008063533790067,0.0065366823509847,0.0274587567523563,drama,risk
drama_risk,200.0,200.0,50,0.0,0.0,0.0,0.0,drama,risk
