workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
resnet34_cifar100_bs128_20e_1gpu,2026-05-01_07-35-57_67ce5665,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,1,single,188.74,192.12,0,1074.0,0.1419,1076.0,1076.0,65.0,65.0,35.91538461538462,35.91538461538462,38.0,38.0,35.91538461538462,35.91538461538462,38.0,38.0,65.0,65.0,1076.0,1076.0,gputl_mean_full,0.0,0.0
resnet34_cifar100_bs128_50e_1gpu,2026-05-01_07-39-14_9b62aa8c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_50e_1gpu.yaml,1,single,483.65,487.07,0,1074.0,0.1419,1076.0,1076.0,57.0,70.0,38.38518518518519,37.3822629969419,39.0,38.0,37.3822629969419,38.38518518518519,38.0,39.0,70.0,57.0,1076.0,1076.0,gputl_mean_full,1.0029221882432964,0.026828824898196817
resnet34_cifar100_bs32_20e_1gpu,2026-05-01_07-47-27_b77f0300,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_20e_1gpu.yaml,1,single,743.21,746.49,0,1002.0,0.0921,1004.0,1004.0,43.0,44.0,36.20454545454545,36.645621181262726,38.0,38.0,36.645621181262726,36.20454545454545,38.0,38.0,44.0,43.0,1004.0,1004.0,gputl_mean_full,0.4410757267172727,0.012036246419061907
resnet34_cifar100_bs32_50e_1gpu,2026-05-01_07-59-59_0fe794d3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,1,single,1921.1,1924.56,0,1002.0,0.0921,1004.0,1004.0,48.0,71.0,35.88636363636363,36.84469096671949,38.0,38.0,36.84469096671949,35.88636363636363,38.0,38.0,71.0,48.0,1004.0,1004.0,gputl_mean_full,0.958327330355857,0.02600991636003896
resnet34_cifar100_bs64_20e_1gpu,2026-05-01_08-32-08_973a2d99,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_20e_1gpu.yaml,1,single,370.15,373.51,0,1016.0,0.1082,1018.0,1018.0,74.0,74.0,35.73684210526316,35.82329317269076,38.0,38.0,35.82329317269076,35.73684210526316,38.0,38.0,74.0,74.0,1018.0,1018.0,gputl_mean_full,0.08645106742760333,0.0024132641019588823
resnet34_cifar100_bs64_50e_1gpu,2026-05-01_08-38-27_f49c74be,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_50e_1gpu.yaml,1,single,1002.53,1005.9,0,1016.0,0.1082,1018.0,1018.0,64.0,72.0,35.278195488721806,36.1981981981982,38.0,38.0,36.1981981981982,35.278195488721806,38.0,38.0,72.0,64.0,1018.0,1018.0,gputl_mean_full,0.9200027094763925,0.02541570451764051
resnet50_imagenet_bs128_1gpu,2026-05-01_08-55-19_6c435383,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,1,single,1866.64,1870.75,0,13236.0,10.416,13238.0,13238.0,86.0,86.0,81.69924812030075,80.23548387096774,84.0,84.0,80.23548387096774,81.69924812030075,84.0,84.0,86.0,86.0,13238.0,13238.0,gputl_mean_full,1.4637642493330105,0.018243352924586228
resnet50_imagenet_bs32_1gpu,2026-05-01_09-26-35_d06673fa,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,1,single,2087.6,2091.71,0,3934.0,2.6099,3944.0,3944.0,82.0,82.0,79.67910447761194,78.50716332378224,81.0,80.0,78.50716332378224,79.67910447761194,80.0,81.0,82.0,82.0,3944.0,3944.0,gputl_mean_full,1.1719411538297066,0.014927824471205796
resnet50_imagenet_bs64_1gpu,2026-05-01_10-01-33_6458f79c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,1,single,1946.88,1951.05,0,7106.0,5.2119,7118.0,7118.0,84.0,84.0,79.47368421052632,79.07413127413128,82.0,82.0,79.07413127413128,79.47368421052632,82.0,82.0,84.0,84.0,7118.0,7118.0,gputl_mean_full,0.39955293639503964,0.005052890622470252
unet_voc_1gpu,2026-05-01_10-34-10_3eeb5b93,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,1,single,1878.16,1880.22,0,9910.0,3.3243,5636.0,5636.0,100.0,100.0,85.68656716417911,88.32909379968204,99.0,99.0,88.32909379968204,85.68656716417911,99.0,99.0,100.0,100.0,5636.0,5636.0,gputl_mean_full,2.642526635502932,0.029916831723597333
vgg16_imagenet_bs128_1gpu,2026-05-01_18-44-19_d39016c2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,1,single,2668.29,2673.42,0,21864.0,9.6625,21668.0,21668.0,100.0,100.0,85.28571428571429,86.39110861001689,84.0,84.0,86.39110861001689,85.28571428571429,84.0,84.0,100.0,100.0,21668.0,21668.0,gputl_mean_full,1.105394324302594,0.01279523254288261
vgg16_imagenet_bs32_1gpu,2026-05-01_17-03-19_86ae23e6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,1,single,3032.79,3038.08,0,6684.0,3.0482,6680.0,6680.0,91.0,92.0,84.203007518797,86.03117268678872,86.0,86.0,86.03117268678872,84.203007518797,86.0,86.0,92.0,91.0,6680.0,6680.0,gputl_mean_full,1.8281651679917275,0.021250031946530325
vgg16_imagenet_bs64_1gpu,2026-05-01_17-57-24_8fde35fb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,1,single,2803.88,2809.21,0,11760.0,5.253,11776.0,11776.0,92.0,92.0,84.53383458646617,86.01982851018221,87.0,87.0,86.01982851018221,84.53383458646617,87.0,87.0,92.0,92.0,11776.0,11776.0,gputl_mean_full,1.4859939237160376,0.017275016114919828
xception_imagenet_bs128_1gpu,2026-05-01_11-05-43_1dc25a83,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,1,single,2853.57,2857.58,0,21236.0,16.2518,21004.0,21004.0,100.0,100.0,86.09701492537313,86.63937007874016,85.0,84.0,86.63937007874016,86.09701492537313,84.0,85.0,100.0,100.0,21004.0,21004.0,gputl_mean_full,0.5423551533670263,0.006259915704305325
xception_imagenet_bs32_1gpu,2026-05-01_11-53-26_abdd42a1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,1,single,2995.01,2999.0,0,5918.0,4.0688,5922.0,5922.0,90.0,91.0,84.97014925373135,85.11882176734898,86.0,85.0,85.11882176734898,84.97014925373135,85.0,86.0,91.0,90.0,5922.0,5922.0,gputl_mean_full,0.14867251361762612,0.0017466467525124498
xception_imagenet_bs64_1gpu,2026-05-01_12-43-31_31c73ab6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,1,single,2941.99,2945.98,0,11106.0,8.1298,10978.0,10978.0,92.0,92.0,85.25373134328358,85.87124681933842,88.5,88.0,85.87124681933842,85.25373134328358,88.0,88.5,92.0,92.0,10978.0,10978.0,gputl_mean_full,0.617515476054848,0.007191178641600694
xlnet_base_cased_wiki_bs8_2gpu,2026-05-03_23-54-28_a28ba9ef,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2,gpu_a,3503.4,3516.79,0,9192.0,4.3858,8890.0,8988.0,100.0,100.0,86.28021978021978,91.9025913206369,92.0,93.0,91.9025913206369,86.28021978021978,93.0,92.0,100.0,100.0,8988.0,8890.0,gputl_mean_full,5.62237154041712,0.061177508268524805
xlnet_base_cased_wiki_bs8_2gpu,2026-05-03_23-54-28_a28ba9ef,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2,gpu_b,3503.4,3516.79,0,9192.0,4.3858,428.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,428.0,gputl_mean_full,0.0,
