telemetry_file,gpu_id,energy_column,energy_start_raw,energy_end_raw,energy_delta_raw,energy_delta_j,start_sample_time_s,end_sample_time_s,trace,policy,raw_label,experiment_name,run_dir
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,3,energy,38447085760.0,46952259263.0,8505173503.0,8505173503.0,181089.048820093,214806.967352677,venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds
evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,0,energy,133628544839.0,141885039497.0,8256494658.0,8256494658.0,727012.630076959,760198.305233337,venus,aegis_lug_thresholded,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug
evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,1,energy,116385719070.0,124413276204.0,8027557134.0,8027557134.0,727012.630076959,760198.305233337,venus,aegis_lug_thresholded,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug
evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug/20260701-012212/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,3,energy,116711386864.0,124578089996.0,7866703132.0,7866703132.0,727012.630076959,760198.305233337,venus,aegis_lug_thresholded,aegis_lug_thresholded,final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug,evaluation/experiments/results/final_representative_evaluation_or_placement_sensitivity__venus__rep01__or_lug
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,33603292653.0,41784752072.0,8181459419.0,8181459419.0,146956.960898622,181084.426484542,venus,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,32971886238.0,40449069199.0,7477182961.0,7477182961.0,146956.960898622,181084.426484542,venus,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds/20260706-042213/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,29957417867.0,38446830940.0,8489413073.0,8489413073.0,146956.960898622,181084.426484542,venus,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_magm_no_thresholds
evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,18270193.0,8734393642.0,8716123449.0,8716123449.0,380.763080582,35481.681820165,venus,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__venus__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,18682758.0,8214362684.0,8195679926.0,8195679926.0,380.763080582,35481.681820165,venus,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__venus__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free/20260621-195553/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,19269419.0,7855090221.0,7835820802.0,7835820802.0,380.763080582,35481.681820165,venus,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__venus__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__venus__rep01__aegis_estimator_free
