trace,policy,raw_label,experiment_name,telemetry_file,metric,column,stat,value
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,total_memory,max,515.796
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,free_memory,mean,311.43126914012134
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,free_memory,p50,313.99440000000004
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,free_memory,p95,323.34906
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,free_memory,max,328.73720000000003
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,used_memory,mean,27.21286588871453
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,used_memory,p50,24.1361
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,used_memory,p95,50.16544
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,used_memory,max,63.1905
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/analysis/run_summary.csv,smact,risk_smact_threshold,mean,999.0
